number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,3.655128942357334,2026-08-04 11:50:11.115368,2026-08-04 11:50:12.781429,0 days 00:00:01.666061,0.7606690070459252,0.04725396149933918,7,12,406,61,2.5348407664333426e-07,3.3323645788192616e-08,0.9197056874649611,COMPLETE
1,3.8063967049489262,2026-08-04 11:50:12.781690,2026-08-04 11:50:13.030525,0 days 00:00:00.248835,0.7148538589793427,0.13867767003062487,8,14,723,8,4.329370014459266e-07,4.4734294104626844e-07,0.5825453457757226,COMPLETE
2,3.5255615705954226,2026-08-04 11:50:13.030684,2026-08-04 11:50:13.352994,0 days 00:00:00.322310,0.5198042692950159,0.005703073595961104,6,18,460,23,1.9826980964985924e-05,0.00012724181576752517,0.8711055768358081,COMPLETE
3,3.433956590880114,2026-08-04 11:50:13.353137,2026-08-04 11:50:13.475249,0 days 00:00:00.122112,0.8850384088698766,0.049227860191943744,2,12,539,40,3.850031979199519e-08,3.4671276804481113,0.9793792198447356,COMPLETE
4,3.4498053053577658,2026-08-04 11:50:13.475385,2026-08-04 11:50:13.628558,0 days 00:00:00.153173,0.5552679889600102,0.022773314415848074,6,10,339,12,0.00028614897264046574,2.039373116525212e-08,0.9455922412472693,COMPLETE
5,3.7933785286224397,2026-08-04 11:50:13.628722,2026-08-04 11:50:13.755360,0 days 00:00:00.126638,0.9368964102565893,0.037199903510538264,5,13,680,24,5.324289357128436,0.09466630153726856,0.9636993649385135,PRUNED
6,3.4022265265380405,2026-08-04 11:50:13.755472,2026-08-04 11:50:13.887793,0 days 00:00:00.132321,0.8972425054911576,0.007397534164346209,2,7,618,59,8.471746987003668e-06,3.148441347423712e-05,0.5628094190643376,COMPLETE
7,3.6901709579795576,2026-08-04 11:50:13.887930,2026-08-04 11:50:13.938441,0 days 00:00:00.050511,0.5192294089205034,0.005740764146307686,5,41,389,23,4.6876566400928895e-08,7.620481786158549,0.8633468615779945,PRUNED
8,3.458839630258307,2026-08-04 11:50:13.938548,2026-08-04 11:50:13.983620,0 days 00:00:00.045072,0.9178620555253562,0.08612626044586402,6,40,55,53,4.638759594322625e-08,1.683416412018213e-05,0.4695214357150779,COMPLETE
9,3.412416166651166,2026-08-04 11:50:13.983752,2026-08-04 11:50:14.115797,0 days 00:00:00.132045,0.6833289550971695,0.012562784156701876,2,19,642,25,0.036851536911881845,0.005470376807480391,0.932327645545796,COMPLETE
